ΤΙΤΛΟΣ,ΛΟΓΟΚΡΙΣΙΑ,ΚΑΤΗΓΟΡΙΑ,ΥΠΟΚΑΤΗΓΟΡΙΑ,ΠΕΡΙΓΡΑΦΗ,ΑΝΑΠΑΡΑΣΤΑΣΗ,ΠΕΡΙΟΔΟΣ,ΧΡΟΝΟΣ,ΦΥΛΟ,ΕΓΚΑΤΑΣΤΑΣΗ,ΕΤΟΣ,ΔΕΚΑΕΤΙΑ,ΕΙΔΟΣ,ΔΗΜΙΟΥΡΓΟΣ,ΚΑΤΑΓΩΓΗ,ΦΟΡΕΑΣ,ΕΠΙΓΡΑΜΜΑ,ΥΛΙΚΟ,ΥΛΙΚΟ-ΠΕΡΙΓΡΑΦΗ,ΤΟΠΟΘΕΣΙΑ,ΚΑΤΕΥΘΥΝΣΗ,ΤΟΠΟΘΕΣΙΑ,ΕΙΚΟΝΑ,ΜΙΚΡΟΓΡΑΦΙΑ,ΣΥΝΤΕΤΑΓΜΕΝΕΣ
ΔΟΣΙΟΥ ΜΙΧΑΗΛ - ΒΥΖΑΝΤΗΣ ΗΛΙΑΣ,ψυχρό,ΕΝΝΟΙΕΣ,ΠΡΟΣΦΟΡΑ,"Παρουσιάζει δύο μορφές: Μιχαήλ Γ. Δοσίου, φαρμακοποιός, 1885-1974, δωρητής κτήματος. Ηλίας Ι. Βυζάντης, ζωγράφος, 1910-1980, ιδρυτής Φ.Ο.Ο.Φ.",ρεαλιστική,Νεότερη,20ός αι.,άνδρας,2000-07-01,2000,1991-2000,στήλη,Δογούλης Νικόλας,Φλώρινα,-,"«Μιχαήλ Γ. Δοσίου, φαρμακοποιός, 1885-1974, δωρητής κτήματος. Ηλίας Ι. Βυζάντης, ζωγράφος, 1910-1980, ιδρυτής Φ.Ο.Ο.Φ.»",μάρμαρο,Μαρμάρινο ανάγλυφο σε μαρμάρινο βάθρο,"Βρίσκεται στην αυλή, στη νοτιοανατολική γωνία του τουριστικού περιπτέρου του Φυσιολατρικού Ορειβατικού Ομίλου Φλώρινας (Φ.Ο.Ο.Φ.).",νότια,αυλή,http://www.learn4change.gr/files/statues-photos/800px/dosiou-vyzantis.jpg,http://www.learn4change.gr/files/statues-photos/thumbnails/dosiou-vyzantis.png,"40.775252, 21.404006"
ΔΡΑΓΟΥΜΗΣ ΙΩΝ,ψυχρό,ΕΝΟΠΛΗ ΒΙΑ,ΜΑΚΕΔΟΝΙΚΟΣ ΑΓΩΝΑΣ,"Ο Ίων Δραγούμης (1878-1920) ήταν διπλωμάτης, πολιτικός και λογοτέχνης. Υπήρξε βασικός οργανωτής των ελληνικών κοινοτήτων κατά τον Μακεδονικό αγώνα. Υποστήριξε τη δημιουργία ενός πολυεθνικού ελληνικού κράτους, εκφραζόμενος από το 1908 εναντίον της Μεγάλης Ιδέας. Πρωταγωνίστησε στο γλωσσικό κίνημα του δημοτικισμού, ενώ με το συγγραφικό του έργο άσκησε σημαντική επιρροή στη διαμόρφωση της ελληνικής ιδεολογίας των αρχών του εικοστού αιώνα. Μετά την απόπειρα δολοφονίας του Ε. Βενιζέλου, ο Ίων Δραγούμης ως αντιβενιζελικός συνελήφθη και δολοφονήθηκε από στρατιωτικό σώμα ασφαλείας.",ρεαλιστική,Νεότερη,20ός αι.,άνδρας,2012-07-01,2012,2011-2020,προτομή,Δογούλης Νικόλας,Φλώρινα,-,"«Ιων. Στεφ. Δραγούμης, 1878-1920, Ο εθναπόστολος της Μακεδονίας, Μακεδονομάχος, Νομικός και Διπλωμάτης, Συγγραφεύς - Λογοτέχνης, Βουλευτής Φλωρίνης»",ορείχαλκος,"Ορειχάλκινη, σε μαρμάρινο βάθρο","Βρίσκεται στο βόρειο μέρος της Πλατείας Γ. Μόδη, μαζί τις προτομές του Λ. Πύρζα, Γ. Μόδη και Ν. Παπαδόπουλου και έχει όψη ανατολικά προς την οδό 25ης Μαρτίου.",ανατολικά,πλατεία,http://www.learn4change.gr/files/statues-photos/800px/dragoumis.jpg,http://www.learn4change.gr/files/statues-photos/thumbnails/dragoumis.png,"40.779435, 21.407539"
ΕΛΕΥΘΕΡΙΑ 1912,ψυχρό,ΕΝΝΟΙΕΣ,ΕΛΕΥΘΕΡΙΑ,Μνημείο αφιερωμένο στην Απελευθέρωση της Φλώρινας από τους Οθωμανούς το 1912.,συμβολική,Νεότερη,20ός αι.,γυναίκα,2012-07-01,2012,2011-2020,άγαλμα,Δογούλης Νικόλας,Φλώρινα,"Δωρεά του καλλιτέχνη στον Δήμο Φλώρινας, με αφορμή τα 100 χρόνια από την ενσωμάτωση στον εθνικό κορμό.",«Ελευθερία 1912»,ορείχαλκος,Ορειχάλκινος ανδριάντας πάνω σε μαρμάρινο βάθρο,"Με όψη προς τα ανατολικά, αποτελεί μέρος ενός μνημειακού συνόλου που βρίσκεται στο νότιο - νοτιοδυτικό άκρο της Πλατείας Γ. Μόδη, μαζί με το Μνημείο Πεσόντων 1940-41 και τα Κανόνια.",ανατολικά,πλατεία,http://www.learn4change.gr/files/statues-photos/800px/eleftheria.jpg,http://www.learn4change.gr/files/statues-photos/thumbnails/eleftheria.png,"40.778995, 21.407535"
ΕΛΛΑΣ ΣΤΕΦΑΝΩΝΕΙ ΣΤΡΑΤΙΩΤΗ,ψυχρό,ΕΝΝΟΙΕΣ,ΤΙΜΗ,Μνημείο αφιερωμένο στον άγνωστο στρατιώτη.,συμβολική,Διαρκής,Διαρκής,άνδρας+γυναίκα,1965-07-01,1965,1961-1970,στήλη,Δογούλης Νικόλας,Φλώρινα,Ερανική Επιτροπή Ανεγέρσεως Προτομών και Ανδριάντων Ν. Φλώρινας,«Η ΕΛΛΑΣ ΣΤΕΦΑΝΩΝΕΙ ΣΤΡΑΤΙΩΤΗΝ»,μάρμαρο,"Ανάγλυφη στήλη από λευκό μάρμαρο, τοποθετημένη σε μαρμάρινη βάση.",Βρίσκεται στο κέντρο της Πλατείας Ηρώων με πρόσοψη βόρεια προς την Οδό Ηπείρου.,βόρεια,πλατεία,http://www.learn4change.gr/files/statues-photos/800px/stratiotis.jpg,http://www.learn4change.gr/files/statues-photos/thumbnails/stratiotis.png,"40.777921, 21.394742"
ΕΛΛΗΝΙΚΗ ΑΣΤΥΝΟΜΙΑ,ψυχρό,ΣΩΜΑΤΑ ΑΣΦΑΛΕΙΑΣ,ΜΝΗΜΗ,Στήλη αφιερωμένη στη μνήμη αστυνομικών που θυσιάστηκαν κατά την εκτέλεση του καθήκοντός τους.,συμβολική,Νεότερη,19ος-20ός αι.,χωρίς φύλο,2000-09-14,2000,1991-2000,στήλη,Άγνωστος,Άγνωστη,Προσφορά Νομαρχιακής Αυτοδιοίκησης Φλώρινας,«Στη μνήμη αστυνομικών που θυσιάστηκαν κατά την εκτέλεση του καθήκοντός τους»,μάρμαρο,Μαρμάρινη στήλη,"Το μνημείο είναι τοποθετημένο στην αυλή, στη βορειοδυτική γωνία του κτιρίου της Διεύθυνσης Αστυνομίας Φλώρινας με πρόσοψη προς τα δυτικά.",δυτικά,αυλή,http://www.learn4change.gr/files/statues-photos/800px/elliniki_astynomia.jpg,http://www.learn4change.gr/files/statues-photos/thumbnails/elliniki_astynomia.png,"40.79007, 21.415315"
ΕΠΙΤΥΜΒΙΑ ΣΤΗΛΗ 1,ψυχρό,ΕΠΙΣΤΗΜΕΣ-ΠΟΛΙΤΙΣΜΟΣ-ΤΕΧΝΕΣ,ΙΣΤΟΡΙΑ,"Πιστό αντίγραφο μαρμάρινης επιτύμβιας αετωματικής στήλης με παράσταση από αριστερά προς τα δεξιά, νεαρού δούλου και ιππέα με τον σκύλο του, μπροστά σε καθιστή σε δίφρο γυναίκα. Σε πρώτο επίπεδο βωμός και στο βάθος δέντρο με περιτυλιγμένο γύρω του φίδι. Στο αέτωμα κάνθαρος από τον οποίο βλασταίνουν κισσόφυλλα. 2ος-3ος αι. μ.Χ. Βρέθηκε στη Βεύη. Εκτίθεται στο Αρχαιολογικό Μουσείο Φλώρινας.",συμβολική,Ρωμαϊκή,2ος αι.,άνδρας+γυναίκα,2005-11-05,2005,2001-2010,στήλη,Αντίγραφο,Άγνωστη,Δήμος Φλώρινας & ΙΖ' Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,,μάρμαρο,Μαρμάρινη στήλη,Βρίσκεται στο ανατολικό άκρο της νησίδας που εκτείνεται κατά μήκος της βόρειας πλευράς της Λ. Μακεδομάχων με πρόσοψη προς τα ανατολικά. Στο δυτικό άκρο της ίδιας νησίδας βρίσκεται η προτομή του Π. Τσάμη.,ανατολικά,νησίδα,http://www.learn4change.gr/files/statues-photos/800px/roman1.jpg,http://www.learn4change.gr/files/statues-photos/thumbnails/roman1.png,"40.782997, 21.410127"
ΕΠΙΤΥΜΒΙΑ ΣΤΗΛΗ 2,ψυχρό,ΕΠΙΣΤΗΜΕΣ-ΠΟΛΙΤΙΣΜΟΣ-ΤΕΧΝΕΣ,ΙΣΤΟΡΙΑ,"Πιστό αντίγραφο μαρμάρινης ανάγλυφης στήλης με παράσταση τεσσάρων μορφών. Από αριστερά προς τα δεξιά, νέος θωρακοφόρος με δόρυ και ξίφος, γενειοφόρος με ιμάτιο, σκήπτρο και φιάλη σπονδής, γυναίκα με χιτώνα, ιμάτιο, σκήπτρο και φιάλη και μικρότερη γυναικεία μορφή. Μέσα στο αψιδωτό αέτωμα δύο αντωπά φίδια που συγκρατούν με το στόμα τους ένα αυγό. Πιθανότατα οι τρεις αγαλματικές μορφές απεικονίζουν τον Αλέξανδρο Γ΄, τον Φίλιππο Β΄ και την Ολυμπιάδα. Μέσα 3ου αι. μ.Χ. Βρέθηκε στο Σκοπό. Εκτίθεται στο Αρχαιολογικό Μουσείο της Φλώρινας.",συμβολική,Ρωμαϊκή,3ος αι.,άνδρας+γυναίκα,2005-11-05,2005,2001-2010,στήλη,Αντίγραφο,Άγνωστη,Δήμος Φλώρινας & ΙΖ' Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,,μάρμαρο,Μαρμάρινη στήλη,"Βρίσκεται στην πλατεία Μεγάλου Αλεξάνδρου, αριστερά καθώς μπαίνουμε στην πόλη λίγα μέτρα πριν τον Κύκλο. Κοιτάζει ανατολικά. Στην ίδια Πλατεία βρίσκεται η προτομή του Ε. Βενιζέλου και η Κοντράλτο.",ανατολικά,πλατεία,http://www.learn4change.gr/files/statues-photos/800px/roman2.jpg,http://www.learn4change.gr/files/statues-photos/thumbnails/roman2.png,"40.7831, 21.415041"
ΕΠΙΤΥΜΒΙΑ ΣΤΗΛΗ 3,ψυχρό,ΕΠΙΣΤΗΜΕΣ-ΠΟΛΙΤΙΣΜΟΣ-ΤΕΧΝΕΣ,ΙΣΤΟΡΙΑ,"Πιστό αντίγραφο μαρμάρινης επιτύμβιας στήλης με παράσταση ιππέα δεξιά ενός βωμού, που συμμετέχει σε τελετουργία σπονδής. Αριστερά του βωμού γυναικεία μορφή με οινοχόη και δυο μικρότερες μορφές πίσω της.<br>Η συμμετοχή των μορφών στην τελετουργία της σπονδής δηλώνει την επισφράγιση μιας υποδοχής ή προπομπής. Ο ήρωας νεκρός παρουσιάζεται στο τέλος ενός ταξιδιού και σπένδει για να ανταποδώσει τον χαιρετισμό σ' αυτούς που τον καλωσορίζουν.<br>Περίπου 330 π.Χ.<br>Αρ. Μουσείου Φλώρινας 104.",συμβολική,Κλασική,4ος αι. π.Χ.,άνδρας+γυναίκα,2005-07-01,2005,2001-2010,στήλη,Αντίγραφο,Άγνωστη,Δήμος Φλώρινας & ΙΖ' Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,,μάρμαρο,Μαρμάρινη στήλη,Βρίσκεται στην αυλή του Δημαρχιακού Μεγάρου της πόλης με πρόσοψη προς τα δυτικά.,δυτικά,αυλή,http://www.learn4change.gr/files/statues-photos/800px/roman3.jpg,http://www.learn4change.gr/files/statues-photos/thumbnails/roman3.png,"40.778581486942436, 21.401552140580094"
ΕΠΤΑ ΗΡΩΕΣ,ψυχρό,ΕΝΝΟΙΕΣ,ΘΥΣΙΑ,"Η πλατεία που βρίσκεται ανατολικά του κτιρίου του Φ.Σ.Φ. <i>Ο Αριστοτέλης</i>, είναι αφιερωμένη στη μνήμη επτά νέων Φλωρινιωτών.
Τον Ιανουάριο του 1944, επτά νεαροί από τη Φλώρινα, μέλη του συλλόγου <i>Ο Αριστοτέλης</i>, αποφάσισαν να ενταχθούν στην αντίσταση κατά των δυνάμεων κατοχής. Εγκατέλειψαν τη Φλώρινα και κατευθύνθηκαν προς την περιοχή των Πρεσπών. Κοντά στο χωριό Λαιμός συνελλήφθησαν από στρατιώτες του βουλγαρικού στρατού και μεταφέρθηκαν στη γειτονική (τότε) Γιουγκοσλαβία. Εκεί υποχρεώθηκαν να σκάψουν ομαδικό τάφο, στη συνέχεια βασανίστηκαν μέχρι θανάτου και τα σώματά τους ρίχτηκαν στον τάφο που μόλις είχαν σκάψει.
Τα οστά τους παρέμειναν εκτός Ελλάδας για δεκαετίες. Το 1978 πραγματοποιήθηκε η εκταφή τους με τη συνεργασία των αρχών της τότε Γιουγκοσλαβίας και τη συμμετοχή ελληνικών διπλωματικών υπηρεσιών. 
Στις 15 Ιανουαρίου 1978 τα οστά μεταφέρθηκαν στην Ελλάδα μέσω του συνοριακού σταθμού της Νίκης και παραδόθηκαν σε τοπικές αρχές. Ακολούθησε μεταφορά των οστών στη Φλώρινα, τέλεση επιμνημόσυνης τελετής και τοποθέτησή τους στο οστεοφυλάκιο του Στρατιωτικού Νεκροταφείου Φλώρινας.",συμβολική,Νεότερη,20ός αι.,άνδρας,1990-07-01,1990,1981-1990,αναθηματικός τοίχος,Ρόμπης Τηλέμαχος,Φλώρινα,Φιλεκπαιδευτικός Σύλλογος Φλώρινας <i>Ο Αριστοτέλης</i>,«ΝΕΟΙ ΑΡΙΣΤΟΤΕΛΙΚΟΙ ΦΙΛΟΙ ΤΗΣ ΟΡΕΙΒΑΣΙΑΣ ΕΠΛΗΡΩΣΑΝ ΜΕ ΤΗΝ ΖΩΗ ΠΟΘΟΝ ΕΛΕΥΘΕΡΙΑΣ<br>ΓΑΖΙΝΟΣ ΔΗΜ. ΚΩΝ/ΝΟΣ Ετών 20<br>ΛΟΥΚΙΔΗΣ ΠΑΝΤ. ΓΕΩΡΓΙΟΣ Ετών 19<br>ΜΑΡΚΟΥ ΛΑΖ. ΠΕΤΡΟΣ Ετών 20<br>ΣΕΧΙΔΗΣ ΧΑΡΑΛ. ΓΕΩΡΓΙΟΣ Ετών 20<br>ΣΤΕΦΑΝΙΔΗΣ ΗΛ. ΛΑΣΚΑΡΗΣ Ετών 20<br>ΤΑΝΟΣ ΠΕΡ. ΔΗΜΗΤΡΙΟΣ Ετών 19<br>ΧΑΤΖΗΠΡΟΔΡΟΜΟΥ ΔΙΟΝ. ΣΥΜΕΩΝ Ετών 19»,σίδηρος,"Ανάγλυφη παράσταση από μάρμαρο, χαλκό, ψηφίδες ασβέστη, άμμο λατομείου.","Με όψη προς τα ανατολικά, αποτελεί μέρος μνημειακού συνόλου που βρίσκεται στο ανατολικό μέρος της Πλατείας Επτά Ηρώων, στην αυλή μπροστά από το κτίριο του Φ.Σ.Φ. <i>Ο Αριστοτέλης</i>  και εν μέρει στην Πλατεία, μαζί με τον ανδριάντα του Αριστοτέλη, την προτομή του Θεόδωρου Θωμαΐδη και το άγαλμα του Σακουλέβα, έξω από την αυλή. ",ανατολικά,αυλή,http://www.learn4change.gr/files/statues-photos/800px/7iroes.jpg,http://www.learn4change.gr/files/statues-photos/thumbnails/7iroes.png,"40.777901, 21.40413"
ΕΦΕΔΡΟΣ ΑΞΙΩΜΑΤΙΚΟΣ,ψυχρό,ΕΝΝΟΙΕΣ,ΤΙΜΗ,Το μνημείο αποδίδει τιμή στην έννοια του έφεδρου αξιωματικού. Ανεγέρθηκε μετά από απόφαση του Συνδέσμου Εφέδρων Αξιωματικών Φλώρινας.,ρεαλιστική,Διαρκής,Διαρκής,άνδρας,1998-11-07,1998,1991-2000,στήλη,Δογούλης Νικόλας,Φλώρινα,Σύνδεσμος Εφέδρων Αξιωματικών και Ανθυπασπιστών Φλώρινας (χορηγία Πρ. Εμφιετζόγλου & Δήμαρχος Δ. Στύλου & ΣΕΕΑΝ),«ΕΛΛΑΣ ΔΕ ΕΣΤΙ ΚΑΙ Η ΜΑΚΕΔΟΝΙΑ»,ορείχαλκος,"Ανάγλυφη στήλη κατασκευασμένη από ορείχαλκο, σε τσιμεντοκατασκευή επενδεδυμένη με μάρμαρο και στηριζόμενη σε ορθοστάτη",Βρίσκεται στο κέντρο της Πλατείας Εφέδρων Αξιωματικών με πρόσοψη βόρεια προς την οδό Αυγουστίνου Καντιώτη.,βόρεια,πλατεία,http://www.learn4change.gr/files/statues-photos/800px/efedros.jpg,http://www.learn4change.gr/files/statues-photos/thumbnails/efedros.png,"40.778051, 21.410052"
ΖΩΗΣ ΑΝΤΩΝΙΟΣ,ψυχρό,ΕΝΟΠΛΗ ΒΙΑ,ΜΑΚΕΔΟΝΙΚΟΣ ΑΓΩΝΑΣ,"Ο Καπετάν Ζώης, ψευδώνυμο του Αντώνιου Ζώη (1869-1941), καταγόταν από το Μοναστήρι. Υπήρξε οπλαρχηγός στον Μακεδονικό αγώνα και ανέπτυξε δράση στην περιοχή του Μοριβόχου. Μετά την Απελευθέρωση του 1912 έζησε στη Φλώρινα, όπου και αυτοκτόνησε το 1941.",ρεαλιστική,Νεότερη,20ός αι.,άνδρας,1960-08-28,1960,1951-1960,προτομή,Χατζή Αλίκη,Φλώρινα,Δήμος Φλώρινας [στην καρτέλα του Μουσείου Μακ. Αγώνα αναφέρεται ότι η πρωτοβουλία ανήκει στην Ερανική Επιτροπή Ανεγέρσεως Προτομών και Ανδριάντων Ν. Φλώρινας],«ΑΝΤΩΝΙΟΣ ΖΩΗΣ ΜΑΚΕΔΟΝΟΜΑΧΟΣ»,μάρμαρο,"Από λευκό μάρμαρο, σε μαρμάρινο βάθρο","Κινούμενοι προς τα δυτικά επί της λεωφόρου Κ. Καραμανλή, μετά τη συμβολή με την οδό Δήμητρας, στην αρχή της πρώτης διαχωριστικής νησίδας αντικρίζουμε την προτομή του Α. Ζώη που κοιτάζει προς τα ανατολικά. Επί της λεωφόρου Κ. Καραμανλή βρίσκονται δύο προτομές μακεδονομάχων, του Ζώη και του Σούλιου, δύο μνημεία, για τη Γενοκτονία των Ποντίων και την Ελληνική Χωροφυλακή και η προτομή του Καστρισιανάκη.",ανατολικά,νησίδα,http://www.learn4change.gr/files/statues-photos/800px/zois.jpg,http://www.learn4change.gr/files/statues-photos/thumbnails/zois.png,"40.783044, 21.405484"
ΘΝΗΣΚΩΝ ΠΟΛΕΜΙΣΤΗΣ,θερμό,ΕΝΝΟΙΕΣ,ΤΙΜΗ,"Ορειχάλκινη κυβιστική σύνθεση, που παριστάνει τον πληγωμένο πολεμιστή, χωρίς συγκεκριμένη μορφή. Δημιουργήθηκε ως μνημείο του αγνώστου στρατιώτη ή των πεσόντων στην πόλη της Φλώρινας. Οι Φλωρινιώτες δέχθηκαν σιωπηλά το έργο, καθώς υπήρξε αντίδραση από τον μητροπολίτη Αυγουστίνο Καντιώτη, ο οποίος δήλωσε πως δεν έχει τίποτε πατριωτικό επάνω του, το χαρακτήρισε αφηρημένη τέχνη, χωρίς κανένα ελληνικό στοιχείο, το οποίο θα μπορούσε να τοποθετηθεί οπουδήποτε αλλού στον κόσμο. Ζήτησε την ανέγερση νέου μνημείου έλληνα ήρωα. Ο Θνήσκων Πολεμιστής, μαζί με το άλλο έργο του Δημήτρη Καλαμάρα, τον Καπετάν Κώττα, βρέθηκε στια αποθήκες του Δήμου για αρκετά χρόνια. Επανατοποθετήθηκαν δίπλα το ένα στο άλλο και τα δύο στο Νέο Παρκο της Φλώρινας το 2006.",συμβολική,Διαρκής,Διαρκής,άνδρας,1971-11-08,1971,1971-1980,άγαλμα,Καλαμάρας Δημήτρης,Φλώρινα,Ερανική Επιτροπή Ανεγέρσεως Προτομών και Ανδριάντων Ν. Φλώρινας,-,ορείχαλκος,"Ορειχάλκινος, με βάση από πωρόλιθο","Βρίσκεται στο νοτιοδυτικό άκρο του Νέου Πάρκου, μαζί με τον ανδριάντα του Μακεδονομάχου Κώττα. Αρχικά είχε τοποθετηθεί στην Πλατεία Γ. Μόδη (παλαιότερα Ομονοίας), το 1993 μετακινήθηκε, βρέθηκε στις αποθήκες του Δήμου και το 2002 τοποθετήθηκε στο Νέο Πάρκο.",νότια,πάρκο,http://www.learn4change.gr/files/statues-photos/800px/thniskon.jpg,http://www.learn4change.gr/files/statues-photos/thumbnails/thniskon.png,"40.781455, 21.409274"
ΘΩΜΑΪΔΗΣ ΘΕΟΔΩΡΟΣ,ψυχρό,ΕΠΙΣΤΗΜΕΣ-ΠΟΛΙΤΙΣΜΟΣ-ΤΕΧΝΕΣ,ΜΟΥΣΙΚΗ,"Ο Θεόδωρος Θωμαΐδης υπήρξε μαέστρος της χορωδίας του Φ.Σ.Φ. <i>Αριστοτέλης</i> της Φλώρινας. Απαγχονίστηκε, μαζί με άλλους 14, από τα γερμανικά στρατεύματα Κατοχής στις 9 Αυγούστου 1943 κοντά στο χωριό Κλαδοράχη Φλώρινας.",ρεαλιστική,Νεότερη,20ός αι.,άνδρας,2021-07-01,2021,2021-2030,προτομή,Γκόλνα Χριστίνα,Φλώρινα,Φιλεκπαιδευτικός Σύλλογος Φλώρινας <i>Ο Αριστοτέλης</i>,,ορείχαλκος,"Ορειχάλκινη, σε μαρμάρινο βάθρο","Με όψη προς τα νότια, αποτελεί μέρος μνημειακού συνόλου που βρίσκεται στο ανατολικό μέρος της Πλατείας Επτά Ηρώων, στην αυλή μπροστά από το κτίριο του Φ.Σ.Φ. <i>Ο Αριστοτέλης</i>  και εν μέρει στην Πλατεία, μαζί με τον ανδριάντα του Αριστοτέλη, το μνημείο των Επτά Ηρώων και το άγαλμα του νέου (ποταμός Σακουλέβας), έξω από την αυλή. ",νότια,αυλή,https://www.learn4change.gr/files/statues-photos/800px/thomaidis.jpg,https://www.learn4change.gr/files/statues-photos/thumbnails/thomaidis.png,"40.777851164414464, 21.404148973562226"
ΙΩΑΝΝΙΔΗΣ ΙΩΑΝΝΗΣ,ψυχρό,ΕΝΟΠΛΗ ΒΙΑ,ΜΑΚΕΔΟΝΙΚΟΣ ΑΓΩΝΑΣ,"Ο Ιωάννης Ιωαννίδης από την Κιουτάχεια της Μικράς Ασίας, το 1904 έρχεται στο Τσοτύλι για να συνεχίσει τις σπουδές του στο Γυμνάσιο  Τσοτυλίου. Συμμετέχει στον Μακεδονικό αγώνα με το σώμα του οπλαρχηγού Σκαλίδη στην περιοχή Μοριχόβου. Σκοτώθηκε, όπως και όλο το σώμα του Σκαλίδη, κατά τη διάρκεια μάχης με Οθωμανούς στρατιώτες το 1906.",ρεαλιστική,Νεότερη,20ός αι.,άνδρας,1976-12-05,1976,1971-1980,προτομή,Μηνόπουλος Θανάσης,Φλώρινα,Σύλλογος Κιουταχειωτών Φλώρινας,«ΙΩΑΝΝΗΣ ΙΩΑΝΝΙΔΗΣ ΕΚ ΚΙΟΥΤΑΧΕΙΑΣ Μ. ΑΣΙΑΣ ΜΑΚΕΔΟΝΟΜΑΧΟΣ 1905-1906»,ορείχαλκος,"Ορειχάλκινη, σε μαρμάρινο βάθρο",Βρίσκεται στη διασταύρωση των οδών Κιουταχείας & Μαγνησίας και έχει όψη προς τα νότια.,νότια,νησίδα,http://www.learn4change.gr/files/statues-photos/800px/ioannidis.jpg,http://www.learn4change.gr/files/statues-photos/thumbnails/ioannidis.png,"40.780371, 21.40042"
ΚΑΝΑΡΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ ,ψυχρό,ΕΝΟΠΛΗ ΒΙΑ,ΕΠΑΝΑΣΤΑΣΗ 1821,"Ο Κωνσταντίνος Κανάρης (1793-1877) ήταν σπουδαία μορφή του ναυτικού αγώνα κατά την Ελληνική Επανάσταση του 1821 και μετέπειτα ναύαρχος και πολιτικός. Διετέλεσε πέντε φορές πρωθυπουργός της Ελλάδας. Η προτομή αποτελεί δωρεά του Πολεμικού Ναυτικού προς τον Δήμο της Φλώρινας, στο πλαίσιο της Ναυτικής Εβδομάς που πραγματοποιήθηκε στη Φλώρινα κατά το διάστημα 28 Ιουνίου ως 5 Ιουλίου του 1998. Τα αποκαλυπτήρια της προτομής έγιναν από τον αρχηγό του ΓΕΝ Ναύαρχο Ιωαννίδη στις 4 Ιουλίου του 1998.",ρεαλιστική,Νεότερη,19ος αι.,άνδρας,1998-07-04,1998,1991-2000,προτομή,Αντίγραφο,Άγνωστη,Πολεμικό Ναυτικό,«Δωρεά του Πολεμικού Ναυτικού στην πόλη της Φλώρινας σε ανάμνηση της Ναυτικής Εβδομάδας 1998»,ορείχαλκος,"Ορειχάλκινη, σε μαρμάρινο βάθρο. Γύρω από την προτομή υπάρχουν δύο άγκυρες, όπου αναγράφεται το έτος 1952.","Βρίσκεται στο κέντρο περίπου του πάρκου του Διοικητηρίου, με κατεύθυνση προς τα νότια. Στην ίδια αυλή υπάρχει το άγαλμα της Αρκούδας και η προτομή του Καπετάν Κώττα.",νότια,πάρκο,http://www.learn4change.gr/files/statues-photos/800px/kanaris.jpg,http://www.learn4change.gr/files/statues-photos/thumbnails/kanaris.png,"40.78204, 21.407568"
ΚΑΝΟΝΙΑ,θερμό,ΕΝΟΠΛΗ ΒΙΑ,ΕΜΦΥΛΙΟΣ ΠΟΛΕΜΟΣ,"Τα κανόνια ανήκαν στον Δημοκρατικό Στρατό Ελλάδας. Μετά τη μάχη της Φλώρινας στις 12 Φεβρουαρίου 1949 στην οποία νίκησε ο Εθνικός Στρατός, τα κανόνια περιήλθαν στην κατοχή του ως λάφυρα.",ρεαλιστική,Νεότερη,20ός αι.,χωρίς φύλο,1961-07-01,1961,1961-1970,τεχνούργημα,Αντίγραφο,Άγνωστη,-,,σίδηρος,Σίδηρος,"Με όψη προς τα ανατολικά, αποτελεί μέρος ενός μνημειακού συνόλου που βρίσκεται στο νότιο - νοτιοδυτικό άκρο της Πλατείας Γ. Μόδη, μαζί με τον ανδριάντα για τα Ελευθέρια του 1912 και το Μνημείο Πεσόντων 1940-41.",ανατολικά,πλατεία,http://www.learn4change.gr/files/statues-photos/800px/kanonia.jpg,http://www.learn4change.gr/files/statues-photos/thumbnails/kanonia.png,"40.779055, 21.407373"
